,panel,xm,ym,ds,Qy,Qx,qs
24,upper,0.16609903799999998,0.027127268750000003,0.0006134252000000017,1.1400122393387396e-06,1.8712611013588887e-07,428.4487347251108
25,upper,0.165494631,0.0272320462,0.0006134188999999991,1.1838732493861645e-06,1.9589586337712504e-07,449.0303458726989
26,upper,0.164890121,0.02733619125,0.0006134128999999988,1.2273630161861643e-06,2.0472941475640513e-07,469.79792117219444
27,upper,0.1642855075,0.02743970245,0.000613406900000002,1.2704814835052452e-06,2.1362637421602508e-07,490.7504457492246
28,upper,0.16368079200000002,0.0275425784,0.0006134011000000009,1.3132286099696176e-06,2.2258635377233834e-07,511.8869093614818
29,upper,0.1630759745,0.02764481775,0.0006133951999999984,1.355604333119272e-06,2.316089602736071e-07,533.206289387794
30,upper,0.162471055,0.027746419,0.0006133896,1.3976086180690358e-06,2.406938055529615e-07,554.7075747671383
31,upper,0.1618660345,0.0278473807,0.0006133840000000015,1.4392414096422239e-06,2.4984049618273033e-07,576.3897417759914
32,upper,0.161260913,0.0279477014,0.0006133785999999988,1.4805026661176116e-06,2.5904864085902235e-07,598.2517715263546
33,upper,0.1606556905,0.0280473796,0.0006133731999999996,1.5213923320798181e-06,2.683178444060931e-07,620.292635745768
