,panel,xm,ym,ds,theta
1,upper,0.17983513699999998,0.02457281895,0.00033613678,2.94596987928975
2,upper,0.179369272,0.024664820900000002,0.0006135885650000001,2.946968856928433
3,upper,0.17876721299999998,0.024783185,0.0006135799549999999,2.9479702906937084
4,upper,0.178165044,0.02490094405,0.0006135714599999999,2.948973191539241
5,upper,0.177562765,0.02501809705,0.0006135630900000002,2.949977878352632
6,upper,0.17696037650000002,0.0251346428,0.0006135548299999998,2.9509843614869786
7,upper,0.176357879,0.02525058015,0.0006135466799999999,2.951992472001199
8,upper,0.175755273,0.025365908,0.0006135386400000003,2.9530022234768514
9,upper,0.1751525585,0.0254806251,0.0006135307299999998,2.9540143879127947
10,upper,0.174549736,0.02559473035,0.0006135229299999998,2.9550274120262268
11,upper,0.173946806,0.02570822255,0.0006135152200000002,2.956043167644154
12,upper,0.173343768,0.025821100450000002,0.0006135076500000001,2.957060549041634
13,upper,0.1727406225,0.02593336295,0.0006135001799999996,2.9580795781588503
14,upper,0.1721373705,0.026045008699999997,0.0006134928099999996,2.959100739816629
15,upper,0.171534012,0.0261560365,0.0006134855599999999,2.960123664641801
16,upper,0.170930547,0.026266445149999998,0.0006134784200000007,2.961148723517617
17,upper,0.17032697600000002,0.0263762333,0.000613471400000001,2.9621757303744864
18,upper,0.1697232995,0.02648539975,0.0006134644999999991,2.963204394941676
19,upper,0.1691195175,0.02659394315,0.0006134576000000006,2.964235777683292
20,upper,0.1685156305,0.026701862200000002,0.0006134508999999996,2.9652683730976013
21,upper,0.167911639,0.02680915565,0.0006134443999999996,2.9663035243550984
22,upper,0.1673075425,0.02691582215,0.0006134377999999999,2.9673407824011866
23,upper,0.16670334199999998,0.0270218603,0.0006134313999999995,2.9683799054521605
24,upper,0.16609903799999998,0.027127268750000003,0.0006134252000000017,2.9694212586968574
25,upper,0.165494631,0.0272320462,0.0006134188999999991,2.970464324409402
26,upper,0.164890121,0.02733619125,0.0006134128999999988,2.971510215411255
27,upper,0.1642855075,0.02743970245,0.000613406900000002,2.9725582585533594
28,upper,0.16368079200000002,0.0275425784,0.0006134011000000009,2.9736078639086205
29,upper,0.1630759745,0.02764481775,0.0006133951999999984,2.9746602847576433
30,upper,0.162471055,0.027746419,0.0006133896,2.9757147547109453
31,upper,0.1618660345,0.0278473807,0.0006133840000000015,2.9767713355498358
32,upper,0.161260913,0.0279477014,0.0006133785999999988,2.9778305086311145
33,upper,0.1606556905,0.0280473796,0.0006133731999999996,2.9788919512421357
34,upper,0.1600503675,0.02814641385,0.0006133679000000017,2.979955560757693
35,upper,0.159444945,0.0282448026,0.0006133627999999995,2.9810215021609614
36,upper,0.158839423,0.02834254435,0.0006133576999999973,2.982089975541679
37,upper,0.1582338015,0.02843963755,0.0006133527,2.983160943061481
38,upper,0.157628081,0.02853608065,0.0006133479000000018,2.9842341813303377
39,upper,0.157022262,0.0286318721,0.000613343199999998,2.9853099184745155
40,upper,0.156416345,0.0287270103,0.0006133384000000033,2.986388088530138
41,upper,0.15581033,0.0288214937,0.0006133338999999988,2.9874688513832903
42,upper,0.1552042175,0.02891532065,0.0006133294000000011,2.9885521184526276
43,upper,0.154598008,0.029008489499999998,0.0006133250999999992,2.989637979503935
44,upper,0.153991702,0.02910099865,0.0006133208000000008,2.9907261882703393
45,upper,0.1533853,0.02919284645,0.0006133165999999968,2.9918171532925317
46,upper,0.152778802,0.0292840312,0.000613312500000001,2.9929108733894285
47,upper,0.15217220850000002,0.02937455125,0.000613308600000001,2.9940069463042516
48,upper,0.15156551950000002,0.02946440485,0.000613304700000001,2.9951063359260996
49,upper,0.150958736,0.0295535903,0.0006133008999999988,2.9962074456232197
50,upper,0.1503518585,0.0296421059,0.0006132972000000014,2.9973121075735842
51,upper,0.1497448865,0.029729949800000002,0.0006132936999999998,2.9984194505780986
52,upper,0.149137821,0.0298171203,0.0006132900999999968,2.999529155897212
53,upper,0.148530663,0.02990361565,0.0006132868000000014,3.000641711766067
54,upper,0.14792341199999998,0.02998943405,0.0006132834999999989,3.0017574812122056
55,upper,0.1473160685,0.03007457365,0.0006132803000000048,3.0028758091357464
56,upper,0.14670863350000002,0.03015903255,0.0006132771999999981,3.003997282147682
57,upper,0.146101107,0.030242809000000002,0.0006132741999999997,3.0051212881761207
58,upper,0.14549348950000002,0.0303259011,0.0006132712999999956,3.006248697439274
59,upper,0.1448857815,0.03040830695,0.0006132685000000068,3.007378644115242
60,upper,0.1442779835,0.0304900247,0.0006132657999999985,3.0085118333213545
61,upper,0.1436700955,0.0305710524,0.0006132631999999985,3.009648102021496
62,upper,0.14306211800000002,0.0306513881,0.0006132606999999998,3.010787397691299
63,upper,0.142454052,0.03073102985,0.0006132583000000025,3.011929562701619
64,upper,0.141845898,0.0308099757,0.0006132560999999939,3.013074971742947
65,upper,0.1412376555,0.03088822365,0.0006132538000000048,3.0142238304236453
66,upper,0.1406293255,0.03096577165,0.0006132516999999976,3.0153754722771358
67,upper,0.140020909,0.0310426177,0.0006132496999999987,3.016530402584703
68,upper,0.1394124055,0.0311187598,0.0006132478000000011,3.0176887361365554
69,upper,0.138803816,0.031194195850000002,0.0006132460999999992,3.0188500720228175
70,upper,0.138195141,0.031268923750000004,0.0006132443000000029,3.0200150131913315
71,upper,0.13758638099999998,0.031342941400000005,0.0006132427999999968,3.0211829646780677
72,upper,0.1369775365,0.0314162467,0.0006132413000000045,3.022354518064021
73,upper,0.13636860750000002,0.031488837500000005,0.0006132398999999997,3.0235294436777727
