,panel,xm,ym,ds,theta,Qy,Qx,qs_b,q_total,tau
250,upper,0.026041,0.023346,0.000646,-2.798338,0.000001,0.000003,7144.034173,5008.269569,5008269.569345
251,upper,0.025433,0.023127,0.000646,-2.793382,0.000001,0.000003,7163.542953,5027.778349,5027778.349039
252,upper,0.024826,0.022905,0.000647,-2.788329,0.000001,0.000003,7182.711107,5046.946503,5046946.502848
253,upper,0.024220,0.022680,0.000647,-2.783175,0.000001,0.000003,7201.533153,5065.768549,5065768.548711
254,upper,0.023614,0.022451,0.000648,-2.777915,0.000001,0.000003,7220.003564,5084.238960,5084238.960242
255,upper,0.023009,0.022219,0.000648,-2.772541,0.000001,0.000003,7238.116614,5102.352010,5102352.009977
256,upper,0.022405,0.021984,0.000649,-2.767049,0.000001,0.000003,7255.866476,5120.101872,5120101.872301
257,upper,0.021802,0.021744,0.000649,-2.761430,0.000001,0.000003,7273.247184,5137.482580,5137482.579832
258,upper,0.021200,0.021502,0.000650,-2.755677,0.000001,0.000003,7290.252560,5154.487956,5154487.955750
259,upper,0.020598,0.021255,0.000650,-2.749782,0.000001,0.000003,7306.876360,5171.111756,5171111.755619
260,upper,0.019998,0.021005,0.000651,-2.743736,0.000001,0.000003,7323.112069,5187.347465,5187347.465353
261,upper,0.019398,0.020751,0.000652,-2.737528,0.000001,0.000003,7338.953015,5203.188411,5203188.411343
262,upper,0.018799,0.020493,0.000652,-2.731148,0.000001,0.000003,7354.392362,5218.627758,5218627.758442
263,upper,0.018202,0.020230,0.000653,-2.724584,0.000001,0.000003,7369.422969,5233.658365,5233658.364732
264,upper,0.017605,0.019963,0.000654,-2.717823,0.000001,0.000003,7384.037523,5248.272919,5248272.919212
265,upper,0.017009,0.019692,0.000655,-2.710850,0.000001,0.000003,7398.228419,5262.463815,5262463.815145
266,upper,0.016415,0.019417,0.000656,-2.703649,0.000001,0.000003,7411.987764,5276.223160,5276223.160002
267,upper,0.015822,0.019136,0.000657,-2.696202,0.000001,0.000003,7425.307380,5289.542776,5289542.775981
268,upper,0.015230,0.018851,0.000658,-2.688490,0.000000,0.000003,7438.178735,5302.414131,5302414.130584
269,upper,0.014639,0.018560,0.000659,-2.680490,0.000000,0.000003,7450.592908,5314.828304,5314828.304287
270,upper,0.014050,0.018264,0.000660,-2.672177,0.000000,0.000003,7462.540590,5326.775986,5326775.986211
271,upper,0.013462,0.017963,0.000661,-2.663523,0.000000,0.000003,7474.011952,5338.247348,5338247.348075
272,upper,0.012875,0.017656,0.000663,-2.654497,0.000000,0.000003,7484.996726,5349.232122,5349232.121867
273,upper,0.012291,0.017342,0.000664,-2.645062,0.000000,0.000003,7495.484033,5359.719429,5359719.428965
274,upper,0.011707,0.017023,0.000666,-2.635178,0.000000,0.000003,7505.462308,5369.697705,5369697.704508
275,upper,0.011126,0.016696,0.000668,-2.624796,0.000000,0.000003,7514.919291,5379.154687,5379154.686621
276,upper,0.010546,0.016362,0.000670,-2.613862,0.000000,0.000003,7523.841855,5388.077251,5388077.250815
277,upper,0.009969,0.016021,0.000672,-2.602314,-0.000000,0.000003,7532.215904,5396.451300,5396451.300345
278,upper,0.009393,0.015672,0.000674,-2.590076,-0.000000,0.000003,7540.026188,5404.261584,5404261.583694
279,upper,0.008820,0.015314,0.000677,-2.577062,-0.000000,0.000003,7547.256122,5411.491518,5411491.518003
280,upper,0.008249,0.014947,0.000680,-2.563168,-0.000000,0.000003,7553.887567,5418.122963,5418122.962795
281,upper,0.007681,0.014570,0.000684,-2.548270,-0.000000,0.000003,7559.900456,5424.135852,5424135.852400
282,upper,0.007116,0.014182,0.000687,-2.532218,-0.000000,0.000003,7565.272421,5429.507817,5429507.817494
283,upper,0.006554,0.013783,0.000692,-2.514829,-0.000000,0.000003,7569.978257,5434.213653,5434213.653079
284,upper,0.005995,0.013370,0.000697,-2.495875,-0.000000,0.000003,7573.989158,5438.224554,5438224.553622
285,upper,0.005441,0.012943,0.000703,-2.475071,-0.000000,0.000003,7577.271726,5441.507122,5441507.121958
286,upper,0.004890,0.012499,0.000711,-2.452053,-0.000001,0.000003,7579.786542,5444.021938,5444021.938032
287,upper,0.004344,0.012038,0.000719,-2.426347,-0.000001,0.000003,7581.486047,5445.721443,5445721.443183
288,upper,0.003804,0.011554,0.000730,-2.397321,-0.000001,0.000003,7582.311331,5446.546727,5446546.726904
289,upper,0.003271,0.011046,0.000744,-2.364115,-0.000001,0.000003,7582.187001,5446.422397,5446422.397168
290,upper,0.002745,0.010508,0.000761,-2.325513,-0.000001,0.000003,7581.012500,5445.247896,5445247.895865
291,upper,0.002229,0.009934,0.000784,-2.279725,-0.000001,0.000003,7578.646310,5442.881706,5442881.705957
292,upper,0.001726,0.009311,0.000818,-2.223979,-0.000001,0.000003,7574.874331,5439.109727,5439109.726680
293,upper,0.001238,0.008624,0.000868,-2.153633,-0.000001,0.000003,7569.337614,5433.573010,5433573.010276
294,upper,0.000776,0.007841,0.000953,-2.059981,-0.000001,0.000003,7561.330047,5425.565443,5425565.442852
295,upper,0.000356,0.006887,0.001136,-1.922756,-0.000001,0.000003,7548.983035,5413.218431,5413218.430627
296,upper,0.000131,0.005140,0.002430,-1.594336,-0.000001,0.000003,7511.529471,5375.764867,5375764.867132
298,lower,0.000684,0.002859,0.002429,-1.071730,-0.000002,0.000003,7459.564267,5323.799663,5323799.663076
299,lower,0.001679,0.001407,0.001132,-0.750501,-0.000002,0.000003,7430.997919,5295.233315,5295233.315324
300,lower,0.002479,0.000746,0.000947,-0.618292,-0.000002,0.000003,7405.434848,5269.670244,5269670.244294
301,lower,0.003235,0.000255,0.000859,-0.528911,-0.000002,0.000003,7381.101676,5245.337072,5245337.072269
302,lower,0.003967,-0.000142,0.000807,-0.462389,-0.000002,0.000003,7357.373191,5221.608587,5221608.587230
303,lower,0.004683,-0.000476,0.000773,-0.410179,-0.000002,0.000003,7333.960483,5198.195879,5198195.879046
304,lower,0.005386,-0.000764,0.000748,-0.367731,-0.000002,0.000003,7310.710519,5174.945915,5174945.914696
305,lower,0.006079,-0.001017,0.000729,-0.332328,-0.000002,0.000003,7287.535441,5151.770837,5151770.836813
306,lower,0.006765,-0.001242,0.000714,-0.302220,-0.000002,0.000003,7264.382245,5128.617641,5128617.640877
307,lower,0.007443,-0.001445,0.000702,-0.276217,-0.000002,0.000003,7241.218024,5105.453420,5105453.419702
308,lower,0.008116,-0.001627,0.000693,-0.253474,-0.000002,0.000003,7218.022107,5082.257503,5082257.502789
309,lower,0.008785,-0.001793,0.000684,-0.233374,-0.000002,0.000003,7194.781588,5059.016984,5059016.984121
310,lower,0.009448,-0.001945,0.000677,-0.215453,-0.000003,0.000003,7171.488637,5035.724033,5035724.033250
311,lower,0.010108,-0.002084,0.000671,-0.199353,-0.000003,0.000003,7148.138836,5012.374232,5012374.232493
312,lower,0.010764,-0.002211,0.000666,-0.184795,-0.000003,0.000003,7124.730082,4988.965478,4988965.478018
313,lower,0.011417,-0.002329,0.000661,-0.171556,-0.000003,0.000003,7101.261861,4965.497257,4965497.256931
314,lower,0.012067,-0.002437,0.000657,-0.159455,-0.000003,0.000003,7077.734784,4941.970180,4941970.179972
315,lower,0.012715,-0.002538,0.000653,-0.148345,-0.000003,0.000003,7054.150218,4918.385614,4918385.613857
316,lower,0.013359,-0.002631,0.000650,-0.138105,-0.000003,0.000003,7030.510070,4894.745466,4894745.465594
317,lower,0.014002,-0.002717,0.000647,-0.128633,-0.000003,0.000003,7006.816604,4871.052000,4871052.000438
318,lower,0.014642,-0.002797,0.000644,-0.119842,-0.000003,0.000003,6983.072325,4847.307721,4847307.720670
319,lower,0.015280,-0.002871,0.000641,-0.111661,-0.000003,0.000003,6959.279887,4823.515283,4823515.282598
320,lower,0.015916,-0.002940,0.000639,-0.104027,-0.000003,0.000003,6935.442020,4799.677416,4799677.415983
321,lower,0.016550,-0.003004,0.000636,-0.096885,-0.000003,0.000003,6911.561507,4775.796903,4775796.903010
322,lower,0.017183,-0.003063,0.000634,-0.090190,-0.000003,0.000003,6887.641120,4751.876516,4751876.515581
323,lower,0.017814,-0.003118,0.000632,-0.083901,-0.000003,0.000003,6863.683613,4727.919009,4727919.009055
324,lower,0.018443,-0.003169,0.000630,-0.077983,-0.000003,0.000003,6839.691698,4703.927094,4703927.093878
325,lower,0.019071,-0.003217,0.000629,-0.072404,-0.000003,0.000003,6815.668026,4679.903422,4679903.421646
326,lower,0.019697,-0.003260,0.000627,-0.067136,-0.000003,0.000003,6791.615192,4655.850588,4655850.588203
327,lower,0.020322,-0.003301,0.000625,-0.062154,-0.000003,0.000003,6767.535717,4631.771113,4631771.113407
328,lower,0.020945,-0.003338,0.000624,-0.057438,-0.000003,0.000003,6743.432045,4607.667441,4607667.441002
329,lower,0.021568,-0.003373,0.000623,-0.052967,-0.000003,0.000003,6719.306533,4583.541929,4583541.929067
330,lower,0.022189,-0.003404,0.000621,-0.048723,-0.000004,0.000002,6695.161478,4559.396875,4559396.874502
331,lower,0.022809,-0.003433,0.000620,-0.044692,-0.000004,0.000002,6670.999083,4535.234479,4535234.479353
332,lower,0.023427,-0.003460,0.000619,-0.040858,-0.000004,0.000002,6646.821472,4511.056868,4511056.867958
333,lower,0.024045,-0.003484,0.000618,-0.037208,-0.000004,0.000002,6622.630698,4486.866094,4486866.093607
334,lower,0.024662,-0.003506,0.000616,-0.033731,-0.000004,0.000002,6598.428727,4462.664123,4462664.123169
335,lower,0.025277,-0.003525,0.000615,-0.030416,-0.000004,0.000002,6574.217459,4438.452855,4438452.854739
336,lower,0.025892,-0.003543,0.000614,-0.027252,-0.000004,0.000002,6549.998714,4414.234110,4414234.109966
337,lower,0.026505,-0.003559,0.000613,-0.024232,-0.000004,0.000002,6525.774244,4390.009640,4390009.640465
338,lower,0.027118,-0.003573,0.000612,-0.021347,-0.000004,0.000002,6501.545725,4365.781121,4365781.120972
339,lower,0.027730,-0.003585,0.000611,-0.018589,-0.000004,0.000002,6477.314777,4341.550173,4341550.172870
340,lower,0.028341,-0.003596,0.000611,-0.015952,-0.000004,0.000002,6453.082935,4317.318331,4317318.331245
341,lower,0.028951,-0.003605,0.000610,-0.013428,-0.000004,0.000002,6428.851694,4293.087090,4293087.090199
342,lower,0.029560,-0.003612,0.000609,-0.011012,-0.000004,0.000002,6404.622468,4268.857864,4268857.864007
343,lower,0.030168,-0.003618,0.000608,-0.008699,-0.000004,0.000002,6380.396619,4244.632015,4244632.015010
344,lower,0.030776,-0.003623,0.000607,-0.006482,-0.000004,0.000002,6356.175457,4220.410853,4220410.853055
345,lower,0.031383,-0.003626,0.000606,-0.004359,-0.000004,0.000002,6331.960230,4196.195626,4196195.626292
346,lower,0.031989,-0.003628,0.000606,-0.002323,-0.000004,0.000002,6307.752131,4171.987527,4171987.527398
347,lower,0.032594,-0.003629,0.000605,-0.000372,-0.000004,0.000002,6283.552303,4147.787699,4147787.699303
348,lower,0.033199,-0.003628,0.000604,0.001499,-0.000004,0.000002,6259.361840,4123.597236,4123597.236487
349,lower,0.033803,-0.003627,0.000604,0.003294,-0.000004,0.000002,6235.181794,4099.417190,4099417.189894
350,lower,0.034406,-0.003625,0.000603,0.005015,-0.000004,0.000002,6211.013155,4075.248551,4075248.551453
351,lower,0.035009,-0.003621,0.000602,0.006666,-0.000004,0.000002,6186.856878,4051.092274,4051092.274288
352,lower,0.035610,-0.003617,0.000602,0.008250,-0.000004,0.000002,6162.713877,4026.949273,4026949.272646
353,lower,0.036212,-0.003611,0.000601,0.009770,-0.000004,0.000002,6138.585017,4002.820414,4002820.413520
354,lower,0.036813,-0.003605,0.000600,0.011228,-0.000004,0.000002,6114.471124,3978.706520,3978706.520019
355,lower,0.037413,-0.003598,0.000600,0.012627,-0.000004,0.000002,6090.372987,3954.608383,3954608.382573
356,lower,0.038012,-0.003590,0.000599,0.013968,-0.000005,0.000002,6066.291354,3930.526750,3930526.749866
357,lower,0.038611,-0.003581,0.000599,0.015255,-0.000005,0.000002,6042.226936,3906.462332,3906462.331608
358,lower,0.039210,-0.003571,0.000598,0.016489,-0.000005,0.000002,6018.180413,3882.415809,3882415.809151
359,lower,0.039807,-0.003561,0.000598,0.017672,-0.000005,0.000002,5994.152430,3858.387826,3858387.825885
360,lower,0.040405,-0.003550,0.000597,0.018806,-0.000005,0.000002,5970.143585,3834.378981,3834378.981487
361,lower,0.041002,-0.003539,0.000597,0.019892,-0.000005,0.000002,5946.154466,3810.389862,3810389.862210
362,lower,0.041598,-0.003527,0.000596,0.020933,-0.000005,0.000002,5922.185611,3786.421007,3786421.006720
363,lower,0.042194,-0.003514,0.000596,0.021930,-0.000005,0.000002,5898.237536,3762.472932,3762472.932136
364,lower,0.042789,-0.003500,0.000595,0.022884,-0.000005,0.000002,5874.310724,3738.546120,3738546.119752
365,lower,0.043384,-0.003487,0.000595,0.023798,-0.000005,0.000002,5850.405637,3714.641033,3714641.032805
366,lower,0.043978,-0.003472,0.000594,0.024671,-0.000005,0.000002,5826.522694,3690.758090,3690758.089939
367,lower,0.044572,-0.003457,0.000594,0.025505,-0.000005,0.000002,5802.662307,3666.897703,3666897.702912
368,lower,0.045165,-0.003442,0.000593,0.026302,-0.000005,0.000002,5778.824842,3643.060238,3643060.237831
369,lower,0.045758,-0.003426,0.000593,0.027063,-0.000005,0.000002,5755.010657,3619.246053,3619246.052675
370,lower,0.046351,-0.003410,0.000593,0.027789,-0.000005,0.000002,5731.220066,3595.455462,3595455.462432
371,lower,0.046943,-0.003393,0.000592,0.028481,-0.000005,0.000002,5707.453384,3571.688780,3571688.780481
372,lower,0.047534,-0.003376,0.000592,0.029139,-0.000005,0.000002,5683.710876,3547.946272,3547946.271575
373,lower,0.048126,-0.003359,0.000591,0.029766,-0.000005,0.000002,5659.992805,3524.228201,3524228.201106
374,lower,0.048716,-0.003341,0.000591,0.030361,-0.000005,0.000002,5636.299400,3500.534796,3500534.796030
375,lower,0.049307,-0.003323,0.000591,0.030926,-0.000005,0.000002,5612.630874,3476.866270,3476866.269930
376,lower,0.049897,-0.003304,0.000590,0.031461,-0.000005,0.000002,5588.987420,3453.222816,3453222.815941
377,lower,0.050487,-0.003286,0.000590,0.031967,-0.000005,0.000002,5565.369200,3429.604596,3429604.595658
378,lower,0.051076,-0.003267,0.000589,0.032446,-0.000005,0.000002,5541.776372,3406.011768,3406011.768009
379,lower,0.051665,-0.003247,0.000589,0.032897,-0.000005,0.000002,5518.209062,3382.444458,3382444.458039
380,lower,0.052254,-0.003228,0.000589,0.033322,-0.000005,0.000002,5494.667386,3358.902782,3358902.781729
381,lower,0.052842,-0.003208,0.000588,0.033721,-0.000005,0.000002,5471.151435,3335.386831,3335386.830743
382,lower,0.053430,-0.003188,0.000588,0.034094,-0.000005,0.000002,5447.661285,3311.896681,3311896.681136
383,lower,0.054017,-0.003168,0.000588,0.034443,-0.000005,0.000002,5424.196994,3288.432390,3288432.390036
384,lower,0.054604,-0.003148,0.000587,0.034768,-0.000005,0.000002,5400.758604,3264.994000,3264994.000293
385,lower,0.055191,-0.003127,0.000587,0.035070,-0.000005,0.000002,5377.346141,3241.581537,3241581.537114
386,lower,0.055778,-0.003107,0.000587,0.035348,-0.000005,0.000002,5353.959609,3218.195005,3218195.004675
387,lower,0.056364,-0.003086,0.000586,0.035605,-0.000005,0.000002,5330.599003,3194.834399,3194834.398666
388,lower,0.056950,-0.003065,0.000586,0.035839,-0.000005,0.000002,5307.264299,3171.499695,3171499.694867
389,lower,0.057536,-0.003044,0.000586,0.036052,-0.000005,0.000002,5283.955458,3148.190854,3148190.853666
390,lower,0.058121,-0.003023,0.000586,0.036245,-0.000005,0.000002,5260.672429,3124.907825,3124907.824559
391,lower,0.058706,-0.003001,0.000585,0.036416,-0.000005,0.000002,5237.415143,3101.650539,3101650.538655
392,lower,0.059291,-0.002980,0.000585,0.036568,-0.000005,0.000002,5214.183517,3078.418913,3078418.913122
393,lower,0.059876,-0.002959,0.000585,0.036701,-0.000006,0.000002,5190.977456,3055.212852,3055212.851645
394,lower,0.060460,-0.002937,0.000585,0.036814,-0.000006,0.000002,5167.796853,3032.032249,3032032.248838
395,lower,0.061044,-0.002916,0.000584,0.036908,-0.000006,0.000002,5144.641579,3008.876975,3008876.974758
396,lower,0.061628,-0.002894,0.000584,0.036984,-0.000006,0.000002,5121.511507,2985.746903,2985746.903060
397,lower,0.062211,-0.002872,0.000584,0.037042,-0.000006,0.000002,5098.406480,2962.641876,2962641.875732
398,lower,0.062794,-0.002851,0.000583,0.037083,-0.000006,0.000002,5075.326343,2939.561739,2939561.739108
399,lower,0.063377,-0.002829,0.000583,0.037106,-0.000006,0.000002,5052.270917,2916.506313,2916506.312544
400,lower,0.063960,-0.002808,0.000583,0.037112,-0.000006,0.000002,5029.240024,2893.475420,2893475.420403
401,lower,0.064542,-0.002786,0.000583,0.037102,-0.000006,0.000002,5006.233461,2870.468857,2870468.856813
402,lower,0.065125,-0.002764,0.000583,0.037075,-0.000006,0.000002,4983.251025,2847.486422,2847486.421524
403,lower,0.065707,-0.002743,0.000582,0.037033,-0.000006,0.000002,4960.292489,2824.527885,2824527.884695
404,lower,0.066288,-0.002721,0.000582,0.036974,-0.000006,0.000002,4937.357631,2801.593027,2801593.026643
405,lower,0.066870,-0.002700,0.000582,0.036900,-0.000006,0.000002,4914.446199,2778.681595,2778681.594752
406,lower,0.067451,-0.002678,0.000582,0.036811,-0.000006,0.000002,4891.557947,2755.793343,2755793.343142
407,lower,0.068033,-0.002657,0.000581,0.036708,-0.000006,0.000002,4868.692609,2732.928005,2732928.005371
408,lower,0.068614,-0.002636,0.000581,0.036589,-0.000006,0.000002,4845.849914,2710.085310,2710085.310435
409,lower,0.069194,-0.002614,0.000581,0.036456,-0.000006,0.000002,4823.029575,2687.264971,2687264.971212
410,lower,0.069775,-0.002593,0.000581,0.036309,-0.000006,0.000002,4800.231304,2664.466700,2664466.700410
411,lower,0.070355,-0.002572,0.000581,0.036148,-0.000006,0.000002,4777.454791,2641.690187,2641690.187248
412,lower,0.070935,-0.002551,0.000580,0.035974,-0.000006,0.000002,4754.699725,2618.935121,2618935.121231
413,lower,0.071515,-0.002530,0.000580,0.035786,-0.000006,0.000002,4731.965785,2596.201181,2596201.180579
414,lower,0.072095,-0.002510,0.000580,0.035585,-0.000006,0.000002,4709.252640,2573.488036,2573488.036356
415,lower,0.072675,-0.002489,0.000580,0.035371,-0.000006,0.000002,4686.559945,2550.795341,2550795.340915
416,lower,0.073254,-0.002469,0.000580,0.035144,-0.000006,0.000002,4663.887352,2528.122748,2528122.747683
417,lower,0.073834,-0.002448,0.000580,0.034905,-0.000006,0.000002,4641.234500,2505.469896,2505469.895699
418,lower,0.074413,-0.002428,0.000579,0.034653,-0.000006,0.000002,4618.601025,2482.836421,2482836.421499
419,lower,0.074992,-0.002408,0.000579,0.034389,-0.000006,0.000002,4595.986548,2460.221944,2460221.943664
420,lower,0.075571,-0.002388,0.000579,0.034113,-0.000006,0.000002,4573.390683,2437.626079,2437626.078646
421,lower,0.076149,-0.002369,0.000579,0.033825,-0.000006,0.000002,4550.813037,2415.048433,2415048.433099
422,lower,0.076728,-0.002349,0.000579,0.033525,-0.000006,0.000002,4528.253212,2392.488608,2392488.607931
423,lower,0.077306,-0.002330,0.000579,0.033214,-0.000006,0.000002,4505.710795,2369.946191,2369946.190669
424,lower,0.077884,-0.002311,0.000578,0.032892,-0.000006,0.000002,4483.185367,2347.420763,2347420.763412
425,lower,0.078463,-0.002292,0.000578,0.032558,-0.000006,0.000002,4460.676507,2324.911903,2324911.902967
426,lower,0.079041,-0.002273,0.000578,0.032214,-0.000006,0.000002,4438.183777,2302.419173,2302419.173198
427,lower,0.079618,-0.002255,0.000578,0.031859,-0.000006,0.000002,4415.706741,2279.942137,2279942.136845
428,lower,0.080196,-0.002236,0.000578,0.031493,-0.000006,0.000002,4393.244940,2257.480336,2257480.336194
429,lower,0.080774,-0.002218,0.000578,0.031116,-0.000006,0.000002,4370.797928,2235.033324,2235033.324331
430,lower,0.081351,-0.002200,0.000578,0.030730,-0.000006,0.000002,4348.365238,2212.600634,2212600.634150
431,lower,0.081928,-0.002183,0.000578,0.030332,-0.000006,0.000002,4325.946398,2190.181794,2190181.794021
432,lower,0.082506,-0.002165,0.000577,0.029925,-0.000006,0.000002,4303.540928,2167.776324,2167776.324034
433,lower,0.083083,-0.002148,0.000577,0.029508,-0.000006,0.000002,4281.148344,2145.383740,2145383.739981
434,lower,0.083660,-0.002131,0.000577,0.029081,-0.000006,0.000002,4258.768157,2123.003553,2123003.553465
435,lower,0.084237,-0.002115,0.000577,0.028644,-0.000006,0.000002,4236.399864,2100.635260,2100635.260371
436,lower,0.084814,-0.002098,0.000577,0.028198,-0.000006,0.000001,4214.042957,2078.278353,2078278.352607
437,lower,0.085390,-0.002082,0.000577,0.027742,-0.000006,0.000001,4191.696926,2055.932322,2055932.322072
438,lower,0.085967,-0.002066,0.000577,0.027277,-0.000006,0.000001,4169.361253,2033.596649,2033596.649134
439,lower,0.086543,-0.002051,0.000577,0.026803,-0.000006,0.000001,4147.035407,2011.270803,2011270.802730
440,lower,0.087120,-0.002035,0.000577,0.026320,-0.000006,0.000001,4124.718856,1988.954252,1988954.252055
441,lower,0.087696,-0.002020,0.000576,0.025827,-0.000006,0.000001,4102.411059,1966.646455,1966646.455058
442,lower,0.088272,-0.002006,0.000576,0.025326,-0.000006,0.000001,4080.111474,1944.346870,1944346.870129
443,lower,0.088849,-0.001991,0.000576,0.024816,-0.000006,0.000001,4057.819549,1922.054945,1922054.944570
444,lower,0.089425,-0.001977,0.000576,0.024297,-0.000006,0.000001,4035.534715,1899.770111,1899770.110824
445,lower,0.090001,-0.001963,0.000576,0.023770,-0.000006,0.000001,4013.256418,1877.491814,1877491.813615
446,lower,0.090577,-0.001950,0.000576,0.023235,-0.000006,0.000001,3990.984083,1855.219479,1855219.479081
447,lower,0.091153,-0.001936,0.000576,0.022691,-0.000006,0.000001,3968.717134,1832.952530,1832952.530333
448,lower,0.091728,-0.001924,0.000576,0.022138,-0.000006,0.000001,3946.454984,1810.690380,1810690.379788
449,lower,0.092304,-0.001911,0.000576,0.021578,-0.000006,0.000001,3924.197045,1788.432441,1788432.440840
450,lower,0.092880,-0.001899,0.000576,0.021010,-0.000006,0.000001,3901.942720,1766.178116,1766178.116318
451,lower,0.093455,-0.001887,0.000576,0.020433,-0.000006,0.000001,3879.691410,1743.926806,1743926.806292
452,lower,0.094031,-0.001875,0.000576,0.019849,-0.000006,0.000001,3857.442508,1721.677904,1721677.904277
453,lower,0.094606,-0.001864,0.000576,0.019257,-0.000006,0.000001,3835.195397,1699.430793,1699430.793429
454,lower,0.095182,-0.001853,0.000576,0.018657,-0.000006,0.000001,3812.949462,1677.184858,1677184.858205
455,lower,0.095757,-0.001842,0.000575,0.018050,-0.000006,0.000001,3790.704077,1654.939473,1654939.472802
456,lower,0.096333,-0.001832,0.000575,0.017435,-0.000006,0.000001,3768.458613,1632.694009,1632694.008975
457,lower,0.096908,-0.001822,0.000575,0.016813,-0.000006,0.000001,3746.212428,1610.447824,1610447.824492
458,lower,0.097483,-0.001813,0.000575,0.016183,-0.000006,0.000001,3723.964898,1588.200294,1588200.294106
459,lower,0.098059,-0.001804,0.000575,0.015546,-0.000006,0.000001,3701.715340,1565.950736,1565950.736140
460,lower,0.098634,-0.001795,0.000575,0.014902,-0.000006,0.000001,3679.463144,1543.698540,1543698.540164
461,lower,0.099209,-0.001787,0.000575,0.014251,-0.000006,0.000001,3657.207636,1521.443032,1521443.031679
462,lower,0.099784,-0.001779,0.000575,0.013592,-0.000006,0.000001,3634.948134,1499.183530,1499183.530178
463,lower,0.100359,-0.001771,0.000575,0.012927,-0.000006,0.000001,3612.683953,1476.919349,1476919.349184
464,lower,0.100934,-0.001764,0.000575,0.012255,-0.000006,0.000001,3590.414516,1454.649912,1454649.912442
465,lower,0.101509,-0.001757,0.000575,0.011576,-0.000006,0.000001,3568.139010,1432.374406,1432374.405541
466,lower,0.102085,-0.001750,0.000575,0.010891,-0.000006,0.000001,3545.856845,1410.092241,1410092.240587
467,lower,0.102660,-0.001744,0.000575,0.010198,-0.000006,0.000001,3523.567312,1387.802708,1387802.707695
468,lower,0.103235,-0.001739,0.000575,0.009500,-0.000006,0.000001,3501.269695,1365.505091,1365505.091260
469,lower,0.103810,-0.001733,0.000575,0.008794,-0.000006,0.000001,3478.963313,1343.198709,1343198.708734
470,lower,0.104385,-0.001729,0.000575,0.008082,-0.000006,0.000001,3456.647437,1320.882833,1320882.833099
471,lower,0.104960,-0.001724,0.000575,0.007364,-0.000006,0.000001,3434.321413,1298.556809,1298556.809348
472,lower,0.105534,-0.001720,0.000575,0.006640,-0.000006,0.000001,3411.984426,1276.219822,1276219.821593
473,lower,0.106109,-0.001717,0.000575,0.005909,-0.000006,0.000001,3389.635847,1253.871243,1253871.242563
474,lower,0.106684,-0.001713,0.000575,0.005172,-0.000006,0.000001,3367.274888,1231.510284,1231510.284059
475,lower,0.107259,-0.001711,0.000575,0.004429,-0.000006,0.000001,3344.900873,1209.136269,1209136.269061
476,lower,0.107834,-0.001708,0.000575,0.003679,-0.000006,0.000001,3322.513002,1186.748398,1186748.398365
477,lower,0.108409,-0.001706,0.000575,0.002924,-0.000006,0.000001,3300.110588,1164.345984,1164345.984110
478,lower,0.108984,-0.001705,0.000575,0.002163,-0.000006,0.000001,3277.692859,1141.928255,1141928.255186
479,lower,0.109559,-0.001704,0.000575,0.001396,-0.000006,0.000001,3255.259078,1119.494474,1119494.474071
480,lower,0.110134,-0.001703,0.000575,0.000623,-0.000006,0.000001,3232.808463,1097.043859,1097043.858903
481,lower,0.110709,-0.001703,0.000575,-0.000155,-0.000006,0.000001,3210.340305,1074.575701,1074575.700626
482,lower,0.111284,-0.001703,0.000575,-0.000940,-0.000006,0.000001,3187.853772,1052.089168,1052089.167697
483,lower,0.111859,-0.001704,0.000575,-0.001729,-0.000006,0.000001,3165.348145,1029.583541,1029583.540596
484,lower,0.112434,-0.001705,0.000575,-0.002525,-0.000006,0.000001,3142.822620,1007.058016,1007058.016353
485,lower,0.113009,-0.001707,0.000575,-0.003326,-0.000006,0.000001,3120.276469,984.511865,984511.865144
486,lower,0.113584,-0.001709,0.000575,-0.004133,-0.000006,0.000001,3097.708799,961.944195,961944.195144
487,lower,0.114159,-0.001712,0.000575,-0.004944,-0.000006,0.000001,3075.118949,939.354345,939354.344760
488,lower,0.114734,-0.001715,0.000575,-0.005762,-0.000006,0.000001,3052.506016,916.741412,916741.411737
489,lower,0.115310,-0.001718,0.000575,-0.006584,-0.000006,0.000001,3029.869289,894.104685,894104.685188
490,lower,0.115885,-0.001723,0.000575,-0.007412,-0.000006,0.000001,3007.207896,871.443292,871443.291817
491,lower,0.116460,-0.001727,0.000575,-0.008245,-0.000006,0.000001,2984.521036,848.756432,848756.431933
492,lower,0.117035,-0.001732,0.000575,-0.009084,-0.000006,0.000001,2961.807944,826.043340,826043.340301
493,lower,0.117610,-0.001737,0.000575,-0.009927,-0.000006,0.000001,2939.067772,803.303168,803303.167801
494,lower,0.118186,-0.001743,0.000575,-0.010775,-0.000006,0.000001,2916.299704,780.535100,780535.099775
495,lower,0.118761,-0.001750,0.000575,-0.011629,-0.000006,0.000001,2893.502881,757.738277,757738.276968
496,lower,0.119336,-0.001757,0.000575,-0.012487,-0.000006,0.000001,2870.676518,734.911914,734911.914409
497,lower,0.119915,-0.001764,0.000581,-0.013676,-0.000006,0.000001,2847.588771,711.824167,711824.166657
498,lower,0.120500,-0.001773,0.000590,-0.014438,-0.000006,0.000001,2824.122706,688.358102,688358.102444
499,lower,0.121090,-0.001781,0.000590,-0.014490,-0.000006,0.000001,2800.624075,664.859471,664859.470723
