,panel,xm,ym,ds,theta,Qy,Qx,qs_b,q_total,tau
58,upper,0.145493,0.030326,0.000613,3.006249,0.000002,0.000001,1226.389210,-909.375394,-909375.394011
59,upper,0.144886,0.030408,0.000613,3.007379,0.000002,0.000001,1252.712121,-883.052483,-883052.482936
60,upper,0.144278,0.030490,0.000613,3.008512,0.000002,0.000001,1279.185253,-856.579351,-856579.350836
61,upper,0.143670,0.030571,0.000613,3.009648,0.000003,0.000001,1305.807508,-829.957096,-829957.096059
62,upper,0.143062,0.030651,0.000613,3.010787,0.000003,0.000001,1332.577784,-803.186820,-803186.820001
63,upper,0.142454,0.030731,0.000613,3.011930,0.000003,0.000001,1359.494977,-776.269627,-776269.627125
64,upper,0.141846,0.030810,0.000613,3.013075,0.000003,0.000001,1386.557983,-749.206621,-749206.620536
65,upper,0.141238,0.030888,0.000613,3.014224,0.000003,0.000001,1413.765684,-721.998920,-721998.919674
66,upper,0.140629,0.030966,0.000613,3.015375,0.000003,0.000001,1441.116970,-694.647634,-694647.633973
67,upper,0.140021,0.031043,0.000613,3.016530,0.000003,0.000001,1468.610724,-667.153880,-667153.880429
68,upper,0.139412,0.031119,0.000613,3.017689,0.000003,0.000001,1496.245825,-639.518779,-639518.779142
69,upper,0.138804,0.031194,0.000613,3.018850,0.000003,0.000001,1524.021155,-611.743449,-611743.448997
70,upper,0.138195,0.031269,0.000613,3.020015,0.000003,0.000001,1551.935578,-583.829026,-583829.025763
71,upper,0.137586,0.031343,0.000613,3.021183,0.000003,0.000001,1579.987974,-555.776630,-555776.630347
72,upper,0.136978,0.031416,0.000613,3.022355,0.000003,0.000001,1608.177203,-527.587401,-527587.400613
73,upper,0.136369,0.031489,0.000613,3.023529,0.000003,0.000001,1636.502131,-499.262473,-499262.473235
74,upper,0.135760,0.031561,0.000613,3.024708,0.000003,0.000001,1664.961616,-470.802988,-470802.988351
75,upper,0.135150,0.031632,0.000613,3.025889,0.000003,0.000001,1693.554519,-442.210085,-442210.084838
76,upper,0.134541,0.031702,0.000613,3.027075,0.000003,0.000001,1722.279690,-413.484914,-413484.914258
77,upper,0.133932,0.031772,0.000613,3.028264,0.000003,0.000001,1751.135977,-384.628627,-384628.627158
78,upper,0.133323,0.031841,0.000613,3.029456,0.000003,0.000001,1780.122236,-355.642368,-355642.368181
79,upper,0.132713,0.031909,0.000613,3.030652,0.000003,0.000001,1809.237300,-326.527304,-326527.304283
80,upper,0.132104,0.031977,0.000613,3.031852,0.000003,0.000001,1838.480007,-297.284597,-297284.596641
81,upper,0.131494,0.032044,0.000613,3.033055,0.000003,0.000001,1867.849203,-267.915400,-267915.400497
82,upper,0.130885,0.032110,0.000613,3.034262,0.000003,0.000001,1897.343715,-238.420889,-238420.889210
83,upper,0.130275,0.032175,0.000613,3.035472,0.000003,0.000001,1926.962364,-208.802240,-208802.239797
84,upper,0.129665,0.032240,0.000613,3.036687,0.000003,0.000001,1956.703990,-179.060614,-179060.613669
85,upper,0.129055,0.032303,0.000613,3.037905,0.000003,0.000001,1986.567399,-149.197205,-149197.205069
86,upper,0.128445,0.032366,0.000613,3.039127,0.000003,0.000001,2016.551416,-119.213188,-119213.187850
87,upper,0.127835,0.032429,0.000613,3.040353,0.000003,0.000001,2046.654859,-89.109745,-89109.744548
88,upper,0.127225,0.032490,0.000613,3.041583,0.000003,0.000001,2076.876528,-58.888076,-58888.076193
89,upper,0.126615,0.032551,0.000613,3.042817,0.000003,0.000001,2107.215231,-28.549373,-28549.373082
90,upper,0.126004,0.032611,0.000613,3.044055,0.000003,0.000001,2137.669774,1.905171,1905.170504
91,upper,0.125394,0.032671,0.000613,3.045296,0.000003,0.000001,2168.238955,32.474351,32474.351410
92,upper,0.124784,0.032729,0.000613,3.046543,0.000003,0.000001,2198.921566,63.156962,63156.962417
93,upper,0.124173,0.032787,0.000613,3.047793,0.000003,0.000001,2229.716396,93.951792,93951.792102
94,upper,0.123563,0.032844,0.000613,3.049047,0.000003,0.000001,2260.622229,124.857625,124857.624980
95,upper,0.122952,0.032900,0.000613,3.050305,0.000003,0.000001,2291.637850,155.873247,155873.246510
96,upper,0.122341,0.032956,0.000613,3.051568,0.000003,0.000001,2322.762042,186.997438,186997.437915
97,upper,0.121726,0.033011,0.000622,3.053500,0.000003,0.000001,2354.438078,218.673474,218673.473611
98,upper,0.121104,0.033065,0.000628,3.055856,0.000003,0.000001,2386.520425,250.755821,250755.820598
99,upper,0.120478,0.033118,0.000628,3.057954,0.000003,0.000001,2418.711497,282.946893,282946.892932
100,upper,0.119852,0.033170,0.000628,3.060056,0.000003,0.000001,2451.009198,315.244594,315244.594438
101,upper,0.119226,0.033221,0.000628,3.062162,0.000003,0.000001,2483.411428,347.646824,347646.824279
102,upper,0.118601,0.033270,0.000628,3.064273,0.000003,0.000001,2515.916081,380.151477,380151.476790
103,upper,0.117974,0.033318,0.000628,3.066388,0.000003,0.000001,2548.521045,412.756441,412756.441399
104,upper,0.117348,0.033364,0.000628,3.068507,0.000003,0.000001,2581.224212,445.459608,445459.607879
105,upper,0.116722,0.033409,0.000628,3.070631,0.000003,0.000001,2614.023455,478.258851,478258.850741
106,upper,0.116096,0.033453,0.000628,3.072760,0.000004,0.000001,2646.916654,511.152050,511152.049884
107,upper,0.115469,0.033496,0.000628,3.074893,0.000004,0.000001,2679.901674,544.137070,544137.069567
108,upper,0.114842,0.033537,0.000628,3.077031,0.000004,0.000001,2712.976378,577.211774,577211.774198
109,upper,0.114215,0.033577,0.000628,3.079173,0.000004,0.000001,2746.138632,610.374028,610374.028349
110,upper,0.113589,0.033615,0.000628,3.081320,0.000004,0.000001,2779.386290,643.621686,643621.686046
111,upper,0.112962,0.033652,0.000628,3.083471,0.000004,0.000001,2812.717195,676.952591,676952.590647
112,upper,0.112334,0.033688,0.000628,3.085628,0.000004,0.000001,2846.129195,710.364591,710364.590764
113,upper,0.111707,0.033723,0.000628,3.087789,0.000004,0.000001,2879.620123,743.855519,743855.519015
114,upper,0.111080,0.033756,0.000628,3.089955,0.000004,0.000001,2913.187817,777.423213,777423.213077
115,upper,0.110452,0.033787,0.000628,3.092126,0.000004,0.000001,2946.830104,811.065500,811065.499756
116,upper,0.109825,0.033818,0.000628,3.094302,0.000004,0.000001,2980.544804,844.780200,844780.200292
117,upper,0.109197,0.033847,0.000628,3.096483,0.000004,0.000001,3014.329734,878.565130,878565.130112
118,upper,0.108569,0.033874,0.000628,3.098668,0.000004,0.000001,3048.182703,912.418099,912418.098938
119,upper,0.107942,0.033901,0.000628,3.100859,0.000004,0.000001,3082.101515,946.336911,946336.910690
120,upper,0.107314,0.033926,0.000628,3.103056,0.000004,0.000001,3116.083967,980.319363,980319.363339
121,upper,0.106686,0.033949,0.000628,3.105257,0.000004,0.000001,3150.127853,1014.363249,1014363.248946
122,upper,0.106057,0.033971,0.000629,3.107463,0.000004,0.000001,3184.230963,1048.466359,1048466.358897
123,upper,0.105429,0.033992,0.000629,3.109675,0.000004,0.000001,3218.391072,1082.626468,1082626.467628
124,upper,0.104801,0.034011,0.000629,3.111892,0.000004,0.000001,3252.605958,1116.841354,1116841.354307
125,upper,0.104173,0.034029,0.000629,3.114115,0.000004,0.000001,3286.873385,1151.108781,1151108.780837
126,upper,0.103544,0.034046,0.000629,3.116342,0.000004,0.000001,3321.191123,1185.426519,1185426.519223
127,upper,0.102916,0.034061,0.000629,3.118576,0.000004,0.000001,3355.556917,1219.792313,1219792.313274
128,upper,0.102287,0.034075,0.000629,3.120814,0.000004,0.000001,3389.968526,1254.203922,1254203.922114
129,upper,0.101658,0.034087,0.000629,3.123059,0.000004,0.000001,3424.423686,1288.659082,1288659.081839
130,upper,0.101029,0.034098,0.000629,3.125309,0.000004,0.000001,3458.920137,1323.155533,1323155.532909
131,upper,0.100401,0.034108,0.000629,3.127565,0.000004,0.000001,3493.455608,1357.691004,1357691.003638
132,upper,0.099772,0.034116,0.000629,3.129827,0.000004,0.000001,3528.027825,1392.263221,1392263.220969
133,upper,0.099143,0.034123,0.000629,3.132094,0.000004,0.000001,3562.634492,1426.869888,1426869.888467
134,upper,0.098514,0.034128,0.000629,3.134368,0.000004,0.000001,3597.273334,1461.508730,1461508.730120
135,upper,0.097885,0.034132,0.000629,3.136647,0.000004,0.000001,3631.942045,1496.177441,1496177.440989
136,upper,0.097255,0.034134,0.000629,3.138932,0.000004,0.000001,3666.638318,1530.873714,1530873.714440
137,upper,0.096626,0.034135,0.000629,3.141224,0.000004,0.000001,3701.359852,1565.595248,1565595.247575
138,upper,0.095997,0.034135,0.000629,-3.139664,0.000004,0.000002,3736.104312,1600.339708,1600339.708192
139,upper,0.095368,0.034133,0.000629,-3.137360,0.000004,0.000002,3770.869388,1635.104784,1635104.784267
140,upper,0.094738,0.034129,0.000629,-3.135050,0.000004,0.000002,3805.652738,1669.888134,1669888.134081
141,upper,0.094109,0.034124,0.000629,-3.132733,0.000004,0.000002,3840.452023,1704.687419,1704687.419332
142,upper,0.093479,0.034118,0.000630,-3.130410,0.000004,0.000002,3875.264898,1739.500294,1739500.294069
143,upper,0.092850,0.034110,0.000630,-3.128080,0.000004,0.000002,3910.089003,1774.324399,1774324.399050
144,upper,0.092220,0.034101,0.000630,-3.125744,0.000004,0.000002,3944.921977,1809.157373,1809157.372622
145,upper,0.091591,0.034090,0.000630,-3.123401,0.000004,0.000002,3979.761443,1843.996839,1843996.839466
146,upper,0.090961,0.034078,0.000630,-3.121051,0.000004,0.000002,4014.605026,1878.840422,1878840.421802
147,upper,0.090332,0.034064,0.000630,-3.118695,0.000004,0.000002,4049.450343,1913.685739,1913685.739207
148,upper,0.089702,0.034049,0.000630,-3.116331,0.000004,0.000002,4084.294990,1948.530386,1948530.386206
149,upper,0.089072,0.034033,0.000630,-3.113961,0.000004,0.000002,4119.136575,1983.371971,1983371.970975
150,upper,0.088443,0.034014,0.000630,-3.111583,0.000004,0.000002,4153.972675,2018.208071,2018208.071066
151,upper,0.087813,0.033995,0.000630,-3.109198,0.000004,0.000002,4188.800881,2053.036277,2053036.277466
152,upper,0.087183,0.033974,0.000630,-3.106806,0.000004,0.000002,4223.618754,2087.854150,2087854.150160
153,upper,0.086553,0.033951,0.000630,-3.104406,0.000004,0.000002,4258.423861,2122.659257,2122659.256895
154,upper,0.085924,0.033927,0.000630,-3.101999,0.000004,0.000002,4293.213760,2157.449156,2157449.156396
155,upper,0.085294,0.033901,0.000630,-3.099584,0.000004,0.000002,4327.985997,2192.221393,2192221.392579
156,upper,0.084664,0.033874,0.000630,-3.097162,0.000004,0.000002,4362.738099,2226.973495,2226973.494613
157,upper,0.084034,0.033845,0.000630,-3.094731,0.000004,0.000002,4397.467603,2261.702999,2261702.998780
158,upper,0.083404,0.033815,0.000631,-3.092293,0.000004,0.000002,4432.172025,2296.407421,2296407.420638
159,upper,0.082775,0.033783,0.000631,-3.089847,0.000004,0.000002,4466.848876,2331.084272,2331084.271601
160,upper,0.082145,0.033750,0.000631,-3.087392,0.000004,0.000002,4501.495652,2365.731048,2365731.047823
161,upper,0.081515,0.033715,0.000631,-3.084930,0.000004,0.000002,4536.109845,2400.345241,2400345.240922
162,upper,0.080885,0.033678,0.000631,-3.082458,0.000004,0.000002,4570.688931,2434.924327,2434924.326799
163,upper,0.080256,0.033640,0.000631,-3.079979,0.000004,0.000002,4605.230419,2469.465815,2469465.814905
164,upper,0.079626,0.033600,0.000631,-3.077491,0.000004,0.000002,4639.731666,2503.967062,2503967.061926
165,upper,0.078996,0.033559,0.000631,-3.074994,0.000004,0.000002,4674.190286,2538.425682,2538425.681780
166,upper,0.078367,0.033516,0.000631,-3.072488,0.000004,0.000002,4708.603554,2572.838950,2572838.949947
167,upper,0.077737,0.033472,0.000631,-3.069973,0.000004,0.000002,4742.969008,2607.204404,2607204.403793
168,upper,0.077107,0.033426,0.000631,-3.067449,0.000004,0.000002,4777.284010,2641.519406,2641519.405952
169,upper,0.076478,0.033378,0.000631,-3.064915,0.000004,0.000002,4811.546021,2675.781417,2675781.416662
170,upper,0.075848,0.033329,0.000631,-3.062373,0.000004,0.000002,4845.752434,2709.987830,2709987.830242
171,upper,0.075219,0.033279,0.000632,-3.059820,0.000004,0.000002,4879.900579,2744.135975,2744135.975181
172,upper,0.074589,0.033226,0.000632,-3.057258,0.000004,0.000002,4913.987880,2778.223276,2778223.276342
173,upper,0.073960,0.033172,0.000632,-3.054685,0.000004,0.000002,4948.011696,2812.247092,2812247.092432
174,upper,0.073331,0.033116,0.000632,-3.052103,0.000004,0.000002,4981.969374,2846.204770,2846204.769888
175,upper,0.072701,0.033059,0.000632,-3.049511,0.000004,0.000002,5015.858247,2880.093643,2880093.642773
176,upper,0.072072,0.033000,0.000632,-3.046908,0.000003,0.000002,5049.675636,2913.911032,2913911.032481
177,upper,0.071443,0.032940,0.000632,-3.044294,0.000003,0.000002,5083.418958,2947.654354,2947654.354313
178,upper,0.070814,0.032877,0.000632,-3.041670,0.000003,0.000002,5117.085401,2981.320797,2981320.796636
179,upper,0.070185,0.032814,0.000632,-3.039034,0.000003,0.000002,5150.672299,3014.907695,3014907.694696
180,upper,0.069556,0.032748,0.000632,-3.036388,0.000003,0.000002,5184.176921,3048.412317,3048412.316883
181,upper,0.068927,0.032681,0.000632,-3.033730,0.000003,0.000002,5217.596575,3081.831971,3081831.970586
182,upper,0.068298,0.032612,0.000633,-3.031061,0.000003,0.000002,5250.928447,3115.163843,3115163.843336
183,upper,0.067670,0.032541,0.000633,-3.028379,0.000003,0.000002,5284.169870,3148.405266,3148405.266488
184,upper,0.067041,0.032469,0.000633,-3.025686,0.000003,0.000002,5317.318003,3181.553399,3181553.398787
185,upper,0.066413,0.032395,0.000633,-3.022981,0.000003,0.000002,5350.370093,3214.605489,3214605.489072
186,upper,0.065784,0.032319,0.000633,-3.020263,0.000003,0.000002,5383.323323,3247.558719,3247558.718610
